Labour Force Population	MDAs Revenue	Number of Records	Othregna	Tax type	Tax value	Population density	Population	Regname	Total Employed	Total Unemployed	Total tax	Total	Km^2	Literacy Rate (In%)
1427042.24	411905947	1	North West	Direct Assessment	535150534.2	82.46247674	3278873	Zamfara	1170525.161	256517.0789	2970991737	3382897684	39762	33.9
2023767.765	757124570.4	1	South East	Other Taxes	580887632.7	450.2183544	2845380	Abia	1384053.764	639714.0009	1938684724	2695809295	6320	72.5
1588278.284	517822259.9	1	North East	Other Taxes	217903162.3	86.11073489	3178950	Adamawa	1257232.151	331046.1333	1284089665	1801911925	36917	40.5
3599981.393	1654609843	1	South South	Other Taxes	886190214	551.0593137	3902051	Akwa Ibom	2242227.699	1357753.694	4495943667	6150553510	7081	70.7
3251914.782	1163283103	1	South East	Other Taxes	598332477.7	862.4748142	4177828	Anambra	2683681.973	568232.8083	7007809655	8171092757	4844	75.1
2122724.499	42321266.71	1	North East	Other Taxes	64570757.36	101.5133189	4653066	Bauchi	1624123.445	498601.0531	1705935988	1748257254	45837	34.1
1362013.642	36985521.64	1	South South	Other Taxes	131359372.3	158.2210155	1704515	Bayelsa	918576.3358	443437.3067	2457898482	2494884003	10773	62
2777485.249	958237799	1	North Central	Other Taxes	102733370.7	124.8903667	4253641	Benue	2218229.987	559255.2622	1841347381	2799585180	34059	45.1
2468889.844	590256865.3	1	North East	Other Taxes	378116430.4	58.83246354	4171104	Borno	1693826.943	775062.9016	1532985974	2123242839	70898	14.5
1936997.976	627378702.6	1	South South	Other Taxes	744245114.1	143.529867	2892988	Cross River	1343610.574	593387.4021	2256976853	2884355555	20156	62.3
3120369.51	1259805788	1	South South	Other Taxes	2154023239	232.3677817	4112445	Delta	2329084.999	791284.5103	11859538241	13119344029	17698	65.7
1528582.172	164312741.2	1	South East	Other Taxes	413330955.7	383.9412698	2176947	Ebonyi	1205683.617	322898.5552	1560227648	1724540389	5670	53
2095235.333	2305913904	1	South South	Other Taxes	980421695.7	181.6293675	3233366	Edo	1569481.293	525754.0392	4517276784	6823190689	17802	45.8
1770459.249	238373509.2	1	South West	Other Taxes	2093829763	377.6101055	2398957	Ekiti	1412959.576	357499.6725	3012540058	3250913567	6353	74.7
2467331.567	1431402776	1	South East	Other Taxes	417025186	456.3380813	3267837	Enugu	2006869.132	460462.4351	2753268747	4184671523	7161	66.5
1736234.752	0	1	North Central	Other Taxes	1429336427	192.0985646	1405201	FCT Abuja	1312485.278	423749.4741	17151971894	17151971894	7315	61.4
995947.1922	60109483.27	1	North East	Other Taxes	1273323835	126.0144928	2365040	Gombe	727056.5354	268890.6567	2092708093	2152817576	18768	39.3
3123271.134	289213783.9	1	South East	Other Taxes	270328322.1	710.2283906	3927563	Imo	2242920.268	880350.8665	2267344038	2556557822	5530	53.2
1553869.891	540625083.8	1	North West	Other Taxes	1307957237	188.3476721	4361002	Jigawa	1141942.717	411927.1732	3148262380	3688887463	23154	24.2
3504776.637	2139401074	1	North West	Other Taxes	521655232.2	132.7492889	6113503	Kaduna	2564296.158	940480.4783	3607184993	5746586067	46053	29.3
